lat,lon
22.727006,74.94861
51.535715,112.457445
40.599697,92.490071
33.932924,104.531383
11.800932,129.269121
11.799726,88.456118
6.904181,98.443741
47.308807,119.844171
34.055751,87.185486
39.403629,77.772754
5.029225,90.96459
52.495493,82.99572
45.622132,130.641254
14.616956,123.103464
13.091248,112.271033
13.170225,127.030557
19.212112,122.827669
30.237822,84.567344
25.597251,128.338658
18.561457,106.439219
34.592645,123.06129
10.974693,128.557661
18.607232,92.716215
22.318092,79.823219
26.803499,87.13198
43.258798,99.480683
13.983689,123.716915
29.711722,126.365296
33.620728,73.431032
6.322521,104.666333
34.377243,98.879482
12.526206,86.770684
7.25258,80.431653
51.444277,93.932141
52.281602,131.460402
44.419867,93.038582
19.230688,105.165019
8.883606,116.587175
38.211651,95.545035
26.007625,133.250489
10.101912,132.671732
28.758846,88.610502
5.719426,103.829407
49.46602,91.654455
16.938999,90.660111
37.126114,75.286991
19.585554,110.792989
30.003401,104.166099
31.335514,76.191683
13.242723,90.276081
52.479231,129.312485
42.756641,87.852837
50.974947,81.983482
48.741368,103.346071
33.894999,134.110328
50.093712,88.007427
8.424625,114.672404
13.799143,120.220416
6.261364,87.733528
20.266517,118.149414
23.433864,95.802554
17.567452,112.202961
45.436875,112.278842
21.837666,106.21803
18.046725,78.597966
31.134804,124.788755
11.046211,92.888364
44.109849,84.564148
7.727532,75.528059
53.344347,109.635362
42.612238,115.00899
13.935784,74.028445
4.276106,104.74977
44.773071,87.042738
39.342867,113.000713
40.450358,83.810719
42.563517,115.83814
7.702233,96.977591
21.923286,131.077259
9.793453,81.526299
47.155171,94.146114
35.164906,80.035358
20.544901,130.331004
7.177918,127.39504
19.549116,88.992381
20.259166,113.919011
40.480309,123.667776
35.877874,107.42245
48.360637,105.838336
27.610746,87.994842
9.979712,78.772372
39.662239,128.627377
42.039252,128.82592
32.06386,112.25229
42.548359,94.019847
28.68978,94.650994
30.136641,118.009252
25.377051,128.620836
5.270956,127.999358
9.394571,121.352284
